epochs,reconstruction,kld,total,seed accuracy,seed precision,seed recall,accuracy,precision,recall,accuracy_rec,precision_rec,recall_rec,time
0,0.08724090978503227,0.8400068283081055,55.62341356277466,0.9991989881956153,1.0,0.9919491525423728,0.9185497470489038,0.8308848864672725,0.8791986591737384,0.9863369360902251,0.4652405513602174,0.3258406722443664,2.6605420999999865
1,0.0873687056824565,0.8400068283081055,52.689893341064455,0.9991146711635748,1.0,0.9911016949152541,0.9188026981450254,0.8300889306751067,0.8837316800483981,0.9861607142857143,0.4602792581496815,0.32165590768949665,2.645684899999992
2,0.08756265360862017,0.8400068283081055,53.744896507263185,0.9989881956155141,1.0,0.9898305084745761,0.9213532883642497,0.8380617514384394,0.8818279492274866,0.9862194548872181,0.4619777895495944,0.3221009809111416,3.5095713000000046
3,0.08704090062528849,0.8400068283081055,53.72322406768799,0.9990303541315342,1.0,0.9902542372881357,0.9179384485666103,0.8296731474152127,0.8784533807069517,0.9863956766917292,0.4742201441160698,0.3286976001116584,3.4115215999999577
4,0.08744779992848635,0.8400068283081055,53.894634342193605,0.9989460370994939,1.0,0.989406779661017,0.9157251264755484,0.8220741526290549,0.8851862965787657,0.986207706766917,0.46225558135678096,0.3272898243161752,2.689440700000034
5,0.08702348340302705,0.8400068283081055,53.68554973602295,0.9989038785834736,1.0,0.9889830508474576,0.9164207419898819,0.8239545478995058,0.885129458119937,0.9863369360902254,0.4665609291706258,0.3247088501804392,2.694865899999968
6,0.08696156591176987,0.8400068283081055,55.59599380493164,0.9993043844856662,1.0,0.9930084745762713,0.919983136593592,0.8366943598652584,0.8812529894800534,0.9863251879699246,0.4606337106082024,0.31915221594195026,3.3717570000000023
7,0.08758416995406151,0.8400068283081055,54.810674858093265,0.9990725126475546,1.0,0.990677966101695,0.918022765598651,0.8285469748364693,0.881889423118699,0.9864661654135336,0.4738079738645763,0.33411841428911826,2.705592999999965
8,0.08756252564489841,0.8400068283081055,53.2337212562561,0.9989671163575041,1.0,0.9896186440677965,0.9168212478920743,0.8287290073403153,0.8785707013455681,0.9861019736842103,0.45426689376323415,0.3168101185247103,2.7476838000000043
9,0.08766691498458386,0.8400068283081055,53.232435607910155,0.9986930860033725,1.0,0.9868644067796607,0.9157672849915682,0.8299014168481673,0.8720424058809948,0.9865953947368421,0.4886939494749429,0.3321109810307722,2.8953787000000375
10,0.08734399862587452,0.8400068283081055,54.41066493988037,0.9990303541315342,1.0,0.9902542372881358,0.9190556492411467,0.8335867603709483,0.8806797871004726,0.9862781954887216,0.4710114913077207,0.31672827470765413,2.9529302000000257
