epochs,total_diffRec,infect_auc,time
0,2269.8341127053286,0.6049104823018612,5.410454200000004
1,2214.3020676832934,0.6365297614094063,5.265622900000004
2,2188.0906732021235,0.6353479448773237,4.797878099999991
3,2195.8013509114585,0.6317142065009358,5.176311100000007
4,2196.2362749148638,0.640002836830883,4.9744546999999955
5,2200.3710186298076,0.6269171251760773,5.095185100000009
6,2187.9818365635015,0.6319991968289369,5.264791000000002
7,2201.7022986778848,0.6362521168179293,5.095161899999994
8,2162.1141576522436,0.6410746693023952,5.419768599999998
9,2200.8577755659053,0.631052616242095,5.106979499999994
