epochs,reconstruction,kld,total_vae,accuracy,precision,recall,time
0,1.3345299899578094,1030.9274047851563,1032.2619232177735,0.8319561551433388,0.09748555778520548,0.0938559322033898,1.6295713999999997
1,1.2705177873373033,677.9968185424805,679.2673370361329,0.8993887015177071,0.025744047619047618,0.001483050847457627,0.7333437000000007
2,1.1948835104703903,443.4791343688965,444.6740180969238,0.9005059021922432,0.0,0.0,0.6534415000000013
3,1.1010945379734038,284.16004447937013,285.2611396789551,0.9005059021922432,0.0,0.0,0.7220430000000011
4,0.9779281675815582,178.0205421447754,178.99847068786622,0.9005059021922432,0.0,0.0,0.9659735999999999
5,0.8225043773651123,110.2836669921875,111.10617122650146,0.9005059021922432,0.0,0.0,0.8042283999999995
6,0.6862994626164436,68.76686573028564,69.45316543579102,0.9005059021922432,0.0,0.0,1.0826738000000002
7,0.6235625609755516,43.952832794189455,44.57639532089233,0.9005059021922432,0.0,0.0,0.8047227999999986
8,0.5836092978715897,29.12083497047424,29.70444393157959,0.9005059021922432,0.0,0.0,0.7818750000000012
9,0.54353948533535,19.986888360977172,20.530427932739258,0.9005059021922432,0.0,0.0,0.7557772000000007
10,0.5006181597709656,14.142418575286865,14.643036699295044,0.9005059021922432,0.0,0.0,0.670171100000001
11,0.44796365574002267,10.299938321113586,10.74790198802948,0.9005059021922432,0.0,0.0,0.8077840999999992
12,0.38903840258717537,7.650764787197113,8.039803147315979,0.9005059021922432,0.0,0.0,0.7501318000000019
13,0.32912016436457636,5.820410692691803,6.149530899524689,0.9005059021922432,0.0,0.0,0.7926816000000017
14,0.27723767012357714,4.463605976104736,4.740843641757965,0.9005269814502533,0.025,0.000211864406779661,0.7873503
15,0.23088350147008896,3.283875805139542,3.514759290218353,0.9013912310286681,0.575,0.008898305084745763,0.8052813000000008
16,0.1942859750241041,2.3830400884151457,2.5773260653018952,0.9129215851602022,1.0,0.12478813559322036,0.7712062999999993
17,0.16205184087157248,1.7531682312488557,1.9152200788259506,0.94643760539629,1.0,0.46165254237288134,0.8084539
18,0.13272804375737907,1.3069651246070861,1.4396931558847428,0.9809443507588529,1.0,0.8084745762711865,0.7638636000000005
19,0.10233356896787882,0.9786331266164779,1.0809666976332664,0.9963532883642496,1.0,0.9633474576271185,0.6957251000000007
